Type,Question,Field,Year,Value,Label
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,2,Resident 3-day fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,17,Resident 3-year fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,1,Resident annual fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,18,Resident 5-year fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,11,Resident Lifetime fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,3,Resident annual hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,21,Resident 3-year hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,22,Resident 5-year hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,23,Resident Lifetime hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,15,Non-resident 1-day fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,8,Non-resident 3-day fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,7,Non-resident annual fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,19,Non-resident 3-year fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,20,Non-resident 5-year fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,16,Non-resident Lifetime fish
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,14,Non-resident annual hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,24,Non-resident 3-year hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,25,Non-resident 5-year hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,26,Non-resident Lifetime hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,12,Senior annual hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,6,Special (disabled) fishing permit
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,28,Fee-Exempt (disabled veteran) hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,13,Veteran annual hunt/fish combo
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,27,Deployed military
SelectOne,What type of Nebraska fishing permit did you have during the 2025 license year?,A1,2025,9,I did not have a permit
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2002?,A10,2002,2,Yes
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2002?,A10,2002,1,No
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2002?,A10,2002,999,No Answer
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2012?,A10,2012,2,Yes
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2012?,A10,2012,1,No
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2012?,A10,2012,999,No Answer
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2018?,A10,2018,2,Yes
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2018?,A10,2018,1,No
SelectOneDual,Did you fish at a water body that required a Nebraska Park Entry Permit during 2018?,A10,2018,999,No Answer
SelectOneDual,Did you fish in a state other then Nebraska during 2018?,A11,2018,1,Yes
SelectOneDual,Did you fish in a state other then Nebraska during 2018?,A11,2018,2,No
SelectOneDual,Did you fish in a state other then Nebraska during 2018?,A11,2018,999,No Answer
SelectOneDual,Did you fish in a state other than Nebraska during 2025?,A11,2025,1,Yes
SelectOneDual,Did you fish in a state other than Nebraska during 2025?,A11,2025,2,No
SelectOneDual,"If yes, did you take a boat or other personal watercraft with you when fishing in a state other than Nebraska in 2018?",A12,2018,1,Yes
SelectOneDual,"If yes, did you take a boat or other personal watercraft with you when fishing in a state other than Nebraska in 2018?",A12,2018,2,No
SelectOneDual,"If yes, did you take a boat or other personal watercraft with you when fishing in a state other than Nebraska in 2018?",A12,2018,999,No Answer
SelectOneDual,Did you take a boat or other personal watercraft with you when fishing in a state other than Nebraska during 2025?,A12,2025,1,Yes
SelectOneDual,Did you take a boat or other personal watercraft with you when fishing in a state other than Nebraska during 2025?,A12,2025,2,No
SelectOne,How many fishing tournaments (either requiring an entry fee or awarding prizes/money) held in Nebraska did you participate in during 2025?,A13a,2025,1,I did not fish in any Nebraska tournaments during 2025
SelectOneDual,I did not fish in any Nebraska tournaments during 2018.,A13aa,2018,1,Checked
SelectOneDual,I did not fish in any Nebraska tournaments during 2018.,A13aa,2018,0,Unchecked
SelectOneDual,I did not fish in any Nebraska tournaments during 2018.,A13aa,2018,999,No Answer
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14craw,2018,2,Yes
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14craw,2018,1,No
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14craw,2018,999,No Answer
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14fish,2018,2,Yes
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14fish,2018,1,No
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14fish,2018,999,No Answer
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14frog,2018,2,Yes
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14frog,2018,1,No
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14frog,2018,999,No Answer
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14leech,2018,2,Yes
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14leech,2018,1,No
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14leech,2018,999,No Answer
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14worm,2018,2,Yes
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14worm,2018,1,No
SelectOneDual,"While fishing in Nebraska during 2018, did you ever use any of the following?",A14worm,2018,999,No Answer
Number,"How many days did you fish set/limb lines in other rivers, streams, and canals in 2018?",A15,2018,NA,NA
SelectOneDual,"I did not fish set/limb lines here (other rivers, streams, and canals) during 2018?",A15a,2018,2,Yes
SelectOneDual,"I did not fish set/limb lines here (other rivers, streams, and canals) during 2018?",A15a,2018,1,No
SelectOneDual,"I did not fish set/limb lines here (other rivers, streams, and canals) during 2018?",A15a,2018,999,No Answer
Number,How many days did you fish set/limb lines in the Missouri River in 2018?,A16,2018,NA,NA
SelectOneDual,I did not fish set/limb lines here (Missouri River) during 2018?,A16a,2018,2,Yes
SelectOneDual,I did not fish set/limb lines here (Missouri River) during 2018?,A16a,2018,1,No
SelectOneDual,I did not fish set/limb lines here (Missouri River) during 2018?,A16a,2018,999,No Answer
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17priv,2018,1,Yes
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17priv,2018,0,No
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17priv,2018,999,No Answer
SelectOne,"During 2025, did you use the following areas when fishing or launching watercraft to fish?",A17priv,2025,1,Yes
SelectOne,"During 2025, did you use the following areas when fishing or launching watercraft to fish?",A17priv,2025,0,No
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17pub,2018,1,Yes
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17pub,2018,0,No
SelectOneDual,"During 2018, did you use the following areas when fishing or launching watercraft to fish?",A17pub,2018,999,No Answer
SelectOne,"During 2025, did you use the following areas when fishing or launching watercraft to fish?",A17pub,2025,1,Yes
SelectOne,"During 2025, did you use the following areas when fishing or launching watercraft to fish?",A17pub,2025,0,No
SelectOne,Did you fish in Nebraska during 2002?,A2,2002,1,Yes
SelectOne,Did you fish in Nebraska during 2002?,A2,2002,2,No
SelectOne,Did you fish in Nebraska during 2002?,A2,2002,999,No Answer
SelectOne,Did you fish in Nebraska during 2012?,A2,2012,1,Yes
SelectOne,Did you fish in Nebraska during 2012?,A2,2012,2,No
SelectOne,Did you fish in Nebraska during 2012?,A2,2012,999,No Answer
SelectOne,Did you fish in Nebraska during 2018?,A2,2018,1,Yes
SelectOne,Did you fish in Nebraska during 2018?,A2,2018,2,No
SelectOne,Did you fish in Nebraska during 2018?,A2,2018,999,No Answer
SelectOne,Did you fish in Nebraska during 2025?,A2,2025,1,Yes
SelectOne,Did you fish in Nebraska during 2025?,A2,2025,2,No
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,1,Lack of time
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,2,Dissatisfied with past fishing trips
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,3,No one to fish with
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,4,Lack of access to fishing areas
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,5,Too expensive
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,6,Physically unable to fish
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,7,No longer enjoy fishing
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,8,Other
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,10,Waters too crowded
SelectOne,"If NO, why didn't you fish in Nebraska during 2002?",A3,2002,999,No Answer
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,1,Lack of time
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,2,Dissatisfied with past fishing trips
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,3,No one to fish with
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,4,Lack of access to fishing areas
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,5,Too expensive
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,6,Physically unable to fish
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,7,No longer enjoy fishing
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,8,Other
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,9,Complicated regulations
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,10,Waters too crowded
SelectOne,"If NO, why didn't you fish in Nebraska during 2012?",A3,2012,999,No Answer
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,1,Lack of time
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,2,Dissatisfied with past fishing trips
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,3,No one to fish with
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,4,Lack of access to fishing areas
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,5,Too expensive
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,6,Physically unable to fish
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,7,No longer enjoy fishing
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,8,Other
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,9,Complicated regulations
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,10,Waters too crowded
SelectOne,"If NO, why didn't you fish in Nebraska during 2018?",A3,2018,999,No Answer
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,1,Lack of time
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,5,Too expensive
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,2,Dissatisfied with past fishing trips
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,6,Physically unable to fish
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,3,No one to fish with
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,7,No longer enjoy fishing
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,4,Lack of access to fishing areas
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,9,Complicated regulations
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,10,Waters are too crowded
SelectOne,What is the main reason you didn't fish in Nebraska during 2025?,A3,2025,8,Other
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4lr,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4lr,2018,1,Lakes and Reservoirs
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4lr,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4lr,2025,1,Lakes and Reservoirs
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4mo,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4mo,2002,1,Missouri River
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4mo,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4mo,2012,1,Missouri River
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4mo,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4mo,2018,1,Missouri River
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4mo,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4mo,2025,1,Missouri River
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4OWl,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4OWl,2012,1,Open fields and waters lakes/ponds
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4OWr,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4OWr,2012,1,Open fields and waters rivers/streams
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4park,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4park,2002,1,City park ponds
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4park,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4park,2012,1,City park ponds
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4pits,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4pits,2002,1,Public sandpits
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4pits,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4pits,2012,1,Public sandpits
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4plat,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4plat,2002,1,Platte River
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4plat,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4plat,2012,1,Platte River
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4plat,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4plat,2018,1,Platte River
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4plat,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4plat,2025,1,Platte River
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4pond,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4pond,2018,1,Ponds and sandpits
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4pond,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4pond,2025,1,Ponds and sandpits
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4priv,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4priv,2002,1,Private ponds and sandpits
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4priv,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4priv,2012,1,Private ponds and sandpits
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4pub,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4pub,2002,1,"Other public lakes, reservoirs, and ponds"
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4pub,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4pub,2012,1,"Other public lakes, reservoirs, and ponds"
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4riv,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4riv,2002,1,"Other streams, rivers, and canals"
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4riv,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4riv,2012,1,"Other streams, rivers, and canals"
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4riv,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4riv,2018,1,"Other streams, rivers, and canals"
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4riv,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4riv,2025,1,"Other streams, rivers, and canals"
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4sand,2002,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2002?,A4sand,2002,1,Sandhill lakes
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4sand,2012,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2012?,A4sand,2012,1,Sandhill lakes
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4sand,2018,0,Unchecked
SelectAll,What types of water bodies did you fish in Nebraska during 2018?,A4sand,2018,1,Sandhill lakes
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4sand,2025,0,Unchecked
SelectAll,In what types of water bodies did you fish in Nebraska during 2025?,A4sand,2025,1,Sandhill lakes
SelectOne,Did you fish at a water body that required a Nebraska Park Entry Permit during 2025?,A5,2025,1,No
SelectOne,Did you fish at a water body that required a Nebraska Park Entry Permit during 2025?,A5,2025,2,Yes
SelectAll,Which methods of fishing did you use during 2002?,A5bank,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5bank,2002,1,Bank/wading
SelectAll,Which methods of fishing did you use during 2012?,A5bank,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5bank,2012,1,Bank/wading
SelectAll,Which methods of fishing did you use during 2018?,A5bank,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5bank,2018,1,Bank/wading
SelectAll,Which methods of fishing did you use during 2025?,A5bank,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5bank,2025,1,Bank/wading
SelectAll,Which methods of fishing did you use during 2002?,A5boat,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5boat,2002,1,Motorized boat
SelectAll,Which methods of fishing did you use during 2012?,A5boat,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5boat,2012,1,Motorized boat
SelectAll,Which methods of fishing did you use during 2018?,A5boat,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5boat,2018,1,Motorized boat
SelectAll,Which methods of fishing did you use during 2025?,A5boat,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5boat,2025,1,Motorized boat
SelectAll,Which methods of fishing did you use during 2002?,A5craft,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5craft,2002,1,Other Non-motorized boat
SelectAll,Which methods of fishing did you use during 2012?,A5craft,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5craft,2012,1,Other Non-motorized boat
SelectAll,Which methods of fishing did you use during 2018?,A5craft,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5craft,2018,1,Other Non-motorized boat
SelectAll,Which methods of fishing did you use during 2025?,A5craft,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5craft,2025,1,Other Non-motorized boat
SelectAll,Which methods of fishing did you use during 2002?,A5ice,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5ice,2002,1,Ice fishing
SelectAll,Which methods of fishing did you use during 2012?,A5ice,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5ice,2012,1,Ice fishing
SelectAll,Which methods of fishing did you use during 2018?,A5ice,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5ice,2018,1,Ice fishing
SelectAll,Which methods of fishing did you use during 2025?,A5ice,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5ice,2025,1,Ice fishing
SelectAll,Which methods of fishing did you use during 2018?,A5kayak,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5kayak,2018,1,Kayak/Canoe
SelectAll,Which methods of fishing did you use during 2025?,A5kayak,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5kayak,2025,1,Kayak/Canoe
SelectAll,Which methods of fishing did you use during 2002?,A5othr,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5othr,2002,1,Other
SelectAll,Which methods of fishing did you use during 2012?,A5othr,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5othr,2012,1,Other
SelectAll,Which methods of fishing did you use during 2018?,A5othr,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5othr,2018,1,Other
SelectAll,Which methods of fishing did you use during 2025?,A5othr,2025,0,Unchecked
SelectAll,Which methods of fishing did you use during 2025?,A5othr,2025,1,Other
SelectAll,Which methods of fishing did you use during 2002?,A5tube,2002,0,Unchecked
SelectAll,Which methods of fishing did you use during 2002?,A5tube,2002,1,Float tube
SelectAll,Which methods of fishing did you use during 2012?,A5tube,2012,0,Unchecked
SelectAll,Which methods of fishing did you use during 2012?,A5tube,2012,1,Float tube
SelectAll,Which methods of fishing did you use during 2018?,A5tube,2018,0,Unchecked
SelectAll,Which methods of fishing did you use during 2018?,A5tube,2018,1,Float tube
SelectAll,Which methods of fishing did you use during 2025?,A5tube,2025,0,Unchecked
